"node_id"	"level1_id"	"level1_name"	"level2_id"	"level2_name"	"level3_id"	"level3_name"	"level4_id"	"level4_name"	"level5_id"	"level5_name"	"full_path"
"126164"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126156"	"LENDING"	"126164"	"ECM"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > LENDING > ECM"
"126165"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"126165"	"CBPMP"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN > CBPMP"
"126166"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"126166"	"BOOK TRANSFER"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN > BOOK TRANSFER"
"126167"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"126167"	"ATM"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN > ATM"
"126168"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"126168"	"CROSS BORDER"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN > CROSS BORDER"
"126169"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"126169"	"DHV"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN > DHV"
"126170"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"126170"	"CLEARING"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN > CLEARING"
"126171"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"126171"	"BFH"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN > BFH"
"126172"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"126172"	"DLV"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN > DLV"
"126173"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126157"	"PAYMENT & TRXN"	"126173"	"DIRECT DEBIT"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > PAYMENT & TRXN > DIRECT DEBIT"
"126174"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"126155"	"C1/B1 RETEST & VERIFICATION"	"126158"	"TRADE AND TREASURY"	"126174"	"OBTF"	"FUCTIONAL TESTING > CYCLE 2 > C1/B1 RETEST & VERIFICATION > TRADE AND TREASURY > OBTF"
"139000"	"1"	"FUCTIONAL TESTING"	"141655"	"TBD"	"141656"	"LENDING"	"139000"	"RSME_2"	"N/A"	"N/A"	"FUCTIONAL TESTING > TBD > LENDING > RSME_2"
