"test_path","testcase_count","passed_count","failed_count","blocked_count","not_run_count","pass_rate","fail_rate","block_rate","pending_rate"
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > CASA > CX_TD,58,4,1,53,0,80.00,20.00,91.38,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_ATM,38,0,0,38,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_CB,12,0,0,12,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_CLEARING,11,0,0,11,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_DD & BANKERS CHEQUE,28,9,1,18,0,90.00,10.00,64.29,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_DHV,17,0,0,17,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_DIRECT DEBIT,16,0,0,16,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_DLV,2,1,0,1,0,100.00,0.00,50.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_IB PAYMENT,28,0,0,28,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_MKONONI,78,0,0,78,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_POS,81,9,0,72,0,100.00,0.00,88.89,0.00
FUCTIONAL TESTING > CYCLE 3 > CUSTOMER EXPERIENCE > PAYMENT & CHANNEL > CX_WAKALA,59,0,0,59,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > BRANCH & COPs MGT > FIN_OBBRN CHARGES,78,40,38,0,0,51.28,48.72,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > CASA & TD > CASA CR INTEREST > FIN_CR INTEREST,1,0,0,1,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > CASA & TD > FIN_CASA CHARGES,22,0,6,16,0,0.00,100.00,72.73,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > CASA & TD > FIN_CHEQUE CASA CHARGES,3,0,3,0,0,0.00,100.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > CASA & TD > TD > FIN_TD MATURITY,5,0,5,0,0,0.00,100.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > CASA & TD > TD > TD FLEX > FIN_TD FLX <TZS>,3,0,3,0,0,0.00,100.00,0.00,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > LENDING > FIN_CL CHARGES,9,3,1,5,0,75.00,25.00,55.56,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > PAYMENT & CHANNEL > FIN_CARD FEES,708,0,4,704,0,0.00,100.00,99.44,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > PAYMENT & CHANNEL > FIN_OBPM CHARGES,212,30,14,168,0,68.18,31.82,79.25,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > PAYMENT & CHANNEL > FIN_SI CHARGES,51,31,0,20,0,100.00,0.00,39.22,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > PAYMENT & CHANNEL > FIN_UNPAID CHEQUE,509,0,0,509,0,0.00,0.00,100.00,0.00
FUCTIONAL TESTING > CYCLE 3 > FINANCIALS > TRADE & TREASURY > FIN_OBTF,11,9,2,0,0,81.82,18.18,0.00,0.00
